run_id,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251123-171907,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000188,81920,0.009046,0.243,0.928,3,constant,False,128,3,simple,,,5,1000000,128,12000
20251123-172736,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,9.3e-05,20480,0.001498,0.158,0.905,5,constant,True,512,3,simple,,,5,500000,512,12000
20251123-173350,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000298,163840,0.004899,0.137,0.913,5,linear,True,64,3,simple,,,5,2000000,256,12000
20251123-175416,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000207,40960,0.000567,0.163,0.911,4,constant,True,512,3,simple,,,5,250000,512,12000
20251123-175710,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,9.1e-05,40960,0.003102,0.142,0.913,10,constant,True,512,3,simple,,,5,100000,64,12000
20251123-175901,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000105,40960,0.003241,0.237,0.935,3,constant,False,128,2,simple,,,5,500000,256,12000
20251123-180311,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000215,40960,0.002372,0.196,0.95,4,constant,False,64,2,simple,,,5,2000000,128,12000
20251123-181912,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000262,40960,0.001744,0.213,0.938,5,constant,True,128,1,simple,,,5,500000,2048,12000
20251123-182347,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000281,10240,0.009641,0.133,0.904,3,constant,True,32,3,simple,,,5,500000,2048,12000
20251123-182746,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000233,327680,0.003097,0.196,0.947,3,constant,True,128,3,simple,,,5,250000,2048,12000
20251123-182940,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.00016,40960,0.000651,0.15,0.926,4,linear,False,256,3,simple,,,5,1000000,1024,12000
20251123-183854,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.00016,40960,0.006629,0.219,0.938,5,constant,True,256,2,simple,,,5,500000,2048,12000
20251123-184411,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000262,81920,0.00762,0.256,0.93,10,linear,True,256,3,simple,,,5,100000,64,12000
